name,race,background,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,day,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup
f11604,Human,Noble,Wizard 16,Wizard,School of Conjuration,16,Inspiring Leader|Tough,130,10,8,10,14,20,12,16,Arcana|History|Insight|Intimidation|Persuasion,06 24 18,LE,E,L,Human,Infestation*0|Mage Hand*0|Friends*0|Message*0|Shocking Grasp*0|Find Familiar*1|Unseen Servant*1|Cause Fear*1|Disguise Self*1|Detect Magic*1|Mage Armor*1|Identify*1|Comprehend Languages*1|Charm Person*1|Crown of Madness*2|Detect Thoughts*2|Dust Devil*2|Hold Person*2|Mind Spike*2|Ray of Enfeeblement*2|Animate Dead*3|Summon Lesser Demons*3|Phantom Steed*3|Fireball*3|Fear*3|Hypnotic Pattern*3|Conjure Minor Elementals*4|Mordenkainen’s Faithful Hound*4|Summon Greater Demon*4|Phantasmal Killer*4|Conjure Elemental*5|Cloudkill*5|Mental Prison*6|Soul Cage*6|Disintegrate*6|Circle of Death*6|Mordenkainen’s Magnificent Mansion*7|Crown of Stars*7|Mighty Fortress*8|Maddening Darkness*8|Antipathy/Sympathy*8,Dagger,16-18
f218b2,High Elf,Inheritor,Warlock 16,Warlock,The Great Old One,16,Keen Mind,111,14,9,16,15,13,12,17,Arcana|Perception|Survival|Deception|Intimidation|Persuasion,06 23 18,NE,E,N,Elf,Eldritch Blast*0|Prestidigitation*0|Minor Illusion*0|Lightning Lure*0|Vicious Mockery*0|Mold Earth*0|Friends*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1|Misty Step*2|Mirror Image*2|Ray of Enfeeblement*2|Fly*3|Remove Curse*3|Hunger of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5|Negative Energy Flood*5|Danse Macabre*5,Dagger,16-18
1.55E+09,Human,Knight,Paladin 16,Paladin,Oath of Devotion,16,,229,18,16,13,18,14,12,14,History|Insight|Intimidation|Persuasion,08 12 18,,NA,NA,Human,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4,Javelin,16-18
58683a,Wood Elf,Noble,Ranger 16,Ranger,Beast Master,16,,150,16,12,20,14,12,12,14,Stealth|History|Animal Handling|Perception|Survival|Persuasion,08 12 18,,NA,NA,Elf,Hunter’s Mark*1|Animal Friendship*1|Speak with Animals*1|Cure Wounds*1|Lesser Restoration*2|Pass Without Trace*2|Spike Growth*2|Wind Wall*3|Water Breathing*3|Speak with Plants*3|Conjure Woodland Beings*4|Locate Creature*4,Shortsword|Longbow,16-18
2060ca,Human,Soldier,Paladin 15,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,169,18,25,10,18,8,13,17,Athletics|Insight|Perception|Intimidation|Persuasion,06 20 18,,NA,NA,Human,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin,12-15
cd6bd2,Human,Soldier,Barbarian 15,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Athletics|Nature|Perception|Survival|Intimidation,06 14 18,,NA,NA,Human,,Halberd|Handaxe|Javelin,12-15
de118c,Human,Pirate,Barbarian 15,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Athletics|Stealth|Perception|Survival|Intimidation,06 18 18,CG,G,C,Human,,Handaxe|Battleaxe|Longbow,12-15
1ae626,Mountain Dwarf,Clan Crafter,Fighter 15,Fighter,Champion,15,Squat Nimbleness|Shield Master|Skilled|Tough,169,20,20,8,16,12,14,8,Athletics|History|Investigation|Nature|Animal Handling|Insight|Perception|Survival,07 17 18,,NA,NA,Dwarf,,Warhammer|Handaxe,12-15
d3310c,Human,Soldier,Paladin 15,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,132,16,18,10,14,8,10,16,Athletics|Insight|Perception|Intimidation|Persuasion,06 14 18,,NA,NA,Human,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin,12-15
5324c0,High Elf,Urban Bounty Hunter,Fighter 15,Fighter,Eldritch Knight,15,War Caster|Sentinel|Resilient,139,24,19,20,14,16,12,8,Acrobatics|Stealth|Insight|Perception|Survival,06 14 18,CG,G,C,Elf,,"Rapier|Crossbow, Light",12-15
41f232,Half-Orc,Far Traveler,Paladin 15,Paladin,Oath of Vengeance,15,Great Weapon Master,153,16,18,10,16,8,10,16,Athletics|Insight|Perception|Intimidation|Persuasion,06 14 18,CG,G,C,Half-Orc,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Greatsword|Javelin,12-15
20622f,High Elf,Sailor,Fighter 15,Fighter,Battle Master,15,Crossbow Expert|Sharpshooter,170,16,8,20,18,9,14,10,Athletics|Perception|Survival|Intimidation,06 14 18,,NA,NA,Elf,,"Crossbow, Heavy|Crossbow, Light",12-15
30f9b9,Deep Gnome,Mercenary Veteran,Barbarian 15,Barbarian,Path of the Berserker,15,,200,15,15,14,17,12,10,14,Athletics|Intimidation|Persuasion,08 12 18,,NA,NA,Gnome,,Greataxe|Handaxe|Javelin,12-15
9368d0,Half-Orc,Knight,Fighter 15,Fighter,Battle Master,15,Great Weapon Master,225,16,20,14,20,15,14,13,History|Animal Handling|Insight|Intimidation|Persuasion,08 22 18,,NA,NA,Half-Orc,,"Greatsword|Whip|Crossbow, Light",12-15
37842a,Half-Elf,Far Traveler,Ranger 15,Ranger,Beast Master,15,,151,15,10,19,14,12,14,15,Investigation|Nature|Animal Handling|Insight|Perception,04 16 18,,NA,NA,Half-Elf,,Shortsword|Longbow,12-15
e97ae1,Wood Elf,Folk Hero,Druid 15,Druid,Circle of the Moon,15,,118,14,9,17,14,12,19,9,Nature|Animal Handling|Medicine|Perception|Survival,04 16 18,,NA,NA,Elf,,Quarterstaff|Scimitar,12-15
4b9745,High Elf,Urchin,Rogue 15,Rogue,Arcane Trickster,15,,104,14,11,19,13,17,11,12,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,04 16 18,,NA,NA,Elf,,Rapier|Shortbow|Dagger,12-15
b5a5b4,Dragonborn,Acolyte,Sorcerer 15,Sorcerer,Draconic Bloodline,15,,119,14,12,13,15,13,9,20,Arcana|Religion|Insight|Intimidation,04 16 18,,NA,NA,Dragonborn,,"Crossbow, Light|Dagger",12-15
7a4887,Dark Elf,Acolyte,Cleric 15,Cleric,Life Domain,15,,118,18,16,14,13,10,18,11,Religion|Insight|Medicine|Perception|Persuasion,04 16 18,,NA,NA,Elf,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,"Mace|Crossbow, Light",12-15
c3bece,Goliath,Folk Hero,Barbarian 15,Barbarian,Path of the Totem Warrior,15,,202,16,19,14,19,8,11,9,Athletics|Nature|Animal Handling|Survival|Intimidation,04 16 18,,NA,NA,Goliath,,Greataxe|Javelin,12-15
c96884,Half-Orc,Clan Crafter,Barbarian 14,Barbarian,Path of the Berserker,14,Great Weapon Master|Tough,159,16,20,11,15,7,12,12,History|Insight|Perception|Survival|Intimidation,08 03 18,,NA,NA,Half-Orc,,Greataxe|Javelin,12-15
b2d598,Forest Gnome,Port City Noble,Fighter 14,Fighter,Eldritch Knight,14,Skilled|Polearm Master|Fade Away|Linguist|Squat Nimbleness,88,16,19,15,10,19,14,10,Acrobatics|Arcana|History|Nature|Religion|Insight|Survival|Persuasion,07 09 18,,NA,NA,Gnome,True Strike*0|Shape Water*0|Prestidigitation*0|Shield*1|Thunderwave*1|Identify*1|Comprehend Languages*1|Misty Step*2|See Invisibility*2|Haste*3|Fireball*3|Counterspell*3,Trident,12-15
3b4031,High Elf,Knight,Mystic 14,Mystic,Order of the Soul Knife,14,Elven Accuracy|Resilient,115,17,10,20,16,12,10,10,Arcana|Insight|Medicine|Perception|Persuasion,08 16 18,,NA,NA,Elf,Green-Flame Blade*0,"Spear|Crossbow, Light",12-15
0af90d,Human,Soldier,Fighter 14,Fighter,Purple Dragon Knight,14,Charger|Tough|Mobile|Alert,158,19,20,13,16,10,11,12,Athletics|Perception|Survival|Intimidation|Persuasion,08 03 18,,NA,NA,Human,,War pick|Handaxe,12-15
84085a,Human,Outlander,Wizard 14,Wizard,School of Abjuration,14,Observant,58,19,9,14,10,20,17,17,Athletics|Arcana|History|Medicine|Survival,05 01 18,CN,N,C,Human,,Quarterstaff,12-15
8e441f,Human,Guild Artisan,Monk 13,Monk,Way of the Drunken Master,13,Alert,69,19,8,20,13,10,18,10,Acrobatics|Stealth|Religion|Insight|Performance|Persuasion,07 03 18,,NA,NA,Human,,Shortsword|Dart|Unarmed Strike,12-15
4f5fa9,Variant,Urban Bounty Hunter,Rogue 13,Rogue,Swashbuckler,13,,107,16,10,20,17,10,13,18,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception,07 14 18,,NA,NA,Half-Elf,,Rapier|Shortbow|Dagger,12-15
e7b828,Hill Dwarf,Sailor,Cleric 13,Cleric,Tempest Domain,13,,120,19,15,10,17,8,20,10,Athletics|Religion|Insight|Perception,08 24 18,LG,G,L,Dwarf,Spare the Dying*0|Sacred Flame*0|Word of Radiance*0|Toll the Dead*0|Resistance*0|Light*0|Fog Cloud*1|Thunderwave*1|Inflict Wounds*1|Cure Wounds*1|Sanctuary*1|Guiding Bolt*1|Bless*1|Healing Word*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Spirit Guardians*3|Life Transference*3|Revivify*3|Control Water*4|Ice Storm*4|Guardian of Faith*4|Freedom of Movement*4|Destructive Wave*5|Insect Plague*5|Flame Strike*5|Greater Restoration*5|Heal*6|Fire Storm*7,"Mace|Crossbow, Light",12-15
bfc357,Lightfoot Halfling,Criminal,Rogue 13,Rogue,Thief,13,,94,15,14,18,14,13,10,14,Sleight of Hand|Stealth|Deception|Persuasion,08 21 18,,NA,NA,Halfling,,Shortsword|Shortbow|Dagger,12-15
6f918e,Tabaxi,Criminal,Rogue 12,Rogue,Mastermind,12,Actor|Keen Mind|Observant,75,14,12,16,12,15,18,16,Sleight of Hand|Stealth|Insight|Perception|Deception|Intimidation|Persuasion,07 09 18,,NA,NA,Tabaxi,,Rapier|Shortbow|Dagger,12-15
b2a4fc,Firbolg,Acolyte,Cleric 12,Cleric,Forge Domain,12,,111,18,14,10,18,13,20,12,History|Religion|Insight|Medicine,06 21 18,,NA,NA,Firbolg,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,"Mace|Crossbow, Light",12-15
be80e1,Lightfoot Halfling,Criminal,Rogue 12,Rogue,Thief,12,,87,19,14,18,14,13,10,14,Sleight of Hand|Stealth|Deception|Persuasion,07 24 18,CG,G,C,Halfling,,Shortsword|Shortbow|Dagger,12-15
afe304,Aarakocra,Far Traveler,Ranger 12,Ranger,Beast Master,12,Lucky|Sharpshooter,88,15,10,19,12,10,12,14,Athletics|Stealth|Animal Handling|Insight|Perception,08 14 18,,NA,NA,Aarakocra,,Shortsword|Longbow,12-15
ff0168,Half-Orc,Folk Hero,Fighter 12,Fighter,Champion,12,Great Weapon Master,112,20,18,13,16,11,11,13,Athletics|Animal Handling|Perception|Survival|Intimidation,08 16 18,CN,N,C,Half-Orc,,"Greatsword|Battleaxe|Crossbow, Light|Unarmed Strike",12-15
5c97c9,Tabaxi,Folk Hero,Ranger 12,Ranger,Hunter,12,Dual Wielder|Alert,89,16,8,18,12,10,15,14,Athletics|Stealth|Investigation|Nature|Animal Handling|Perception|Survival,08 29 18,CN,N,C,Tabaxi,Ensnaring Strike*1|Hail of Thorns*1|Hunter’s Mark*1|Cordon Of Arrows*2|Silence*2|Pass Without Trace*2|Lightning Arrow*3|Conjure Barrage*3,Longbow|Trident|Net|Rapier,12-15
a27429,Human,Courtier,Cleric 12,Cleric,Forge Domain,12,Heavy Armor Master,119,17,20,12,18,10,14,9,History|Religion|Insight|Medicine|Persuasion,06 24 18,,NA,NA,Human,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,"Mace|Crossbow, Light",12-15
642f2c,Half-Orc,Barbarian Tribe Member,Barbarian 12,Barbarian,Path of the Zealot,12,,188,20,20,20,20,11,10,11,Athletics|Nature|Perception|Survival|Intimidation,06 24 18,,NA,NA,Half-Orc,,Greataxe|Handaxe|Javelin,12-15
56b2db,Forest Gnome,Hermit,Wizard 12,Wizard,School of Evocation,12,,100,14,13,18,16,20,16,14,Arcana|Religion|Insight|Medicine,06 24 18,,NA,NA,Gnome,,Quarterstaff,12-15
321a37,Variant,Sage,Sorcerer 12,Sorcerer,Draconic Bloodline,12,Observant,107,18,13,20,16,16,16,20,Arcana|History|Insight|Persuasion,06 24 18,,NA,NA,Half-Elf,,"Crossbow, Light|Dagger",12-15
7919c2,Scourge Aasimar,Knight,Paladin 12,Paladin,Oath of Vengeance,12,,139,20,20,14,18,10,16,16,History|Insight|Intimidation|Persuasion,06 24 18,,NA,NA,Aasimar,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3,Warhammer|Javelin,12-15
2242a7,Ghastly Halfling,Entertainer,Bard 12,Bard,College of Swords,12,,110,16,8,20,16,10,14,20,Acrobatics|Stealth|Perception|Deception|Performance,06 24 18,,NA,NA,Halfling,,"Dagger|Shortsword|Scimitar|Crossbow, Light",12-15
9a7b7f,Tiefling,Cloistered Scholar,Warlock 12,Warlock,The Celestial,12,,117,16,10,20,16,12,18,20,Arcana|History|Investigation|Nature,06 24 18,,NA,NA,Tiefling,Light*0|Sacred Flame*0,"Crossbow, Light|Dagger",12-15
033ce0,Shadow Elf,Outlander,Ranger 12,Ranger,Hunter,12,Sharpshooter|Elven Accuracy,131,16,11,20,16,12,14,12,Athletics|Stealth|Investigation|Nature|Perception|Survival,06 24 18,,NA,NA,Elf,,Shortsword|Longbow,12-15
2242a7,Stout Halfling,Sailor,Rogue 12,Rogue,Swashbuckler,12,Alert|Mobile,141,16,10,20,20,10,14,12,Athletics|Sleight of Hand|Stealth|Investigation|Perception|Deception,06 24 18,,NA,NA,Halfling,,Dagger|Shortsword|Scimitar,12-15
c58946,Mountain Dwarf,Knight,Fighter 12,Fighter,Samurai,12,Heavy Armor Master|Polearm Master|Sentinel,162,16,20,14,20,11,14,13,History|Animal Handling|Perception|Intimidation|Persuasion,06 24 18,,NA,NA,Dwarf,,"Halberd|Maul|Crossbow, Light",12-15
624b00,Tortle,Folk Hero,Paladin 12,Paladin,Oath of Ancients,12,Lucky,124,18,19,23,18,10,13,18,Athletics|Animal Handling|Survival|Persuasion,08 29 18,,NA,NA,Turtle,Ensnaring Strike*1|Speak with Animals*1|Shield of Faith*1|Thunderous Smite*1|Purify Food and Drink*1|Compelled Duel*1|Protection from Evil and Good*1|Command*1|Detect Magic*1|Bless*1|Wrathful Smite*1|Divine Favor*1|Cure Wounds*1|Moonbeam*2|Misty Step*2|Lesser Restoration*2|Branding Smite*2|Find Steed*2|Zone of Truth*2|Magic Weapon*2|Plant Growth*3|Protection from Energy*3|Aura Of Vitality*3|Remove Curse*3|Daylight*3|Blinding Smite*3|Elemental Weapon*3,Battleaxe|Javelin|Greataxe,12-15
c0a87f,Turtle,Sage,Druid 12,Druid,Circle of spores,12,,76,19,10,16,14,10,20,11,Arcana|History|Nature|Animal Handling|Survival,05 19 18,CN,N,C,Turtle,Chill Touch*0|Gentle Repose*2|Ray of Enfeeblement*2|Animate Dead*3|Gaseous Form*3|Blight*4|Confusion*4|Cloudkill*5|Contagion*5,Quarterstaff,12-15
e3adef,Half-Orc,Clan Crafter,Sorcerer 11,Sorcerer,Storm Sorcery,11,Spell Sniper,95,11,13,13,18,8,8,20,History|Insight|Deception|Intimidation|Persuasion,08 09 18,,NA,NA,Half-Orc,,Mace|Dagger,08-11
fc6b06,Scourge Aasimar,Knight,Paladin 11,Paladin,Oath of Vengeance,11,,127,20,18,14,18,10,16,16,History|Insight|Intimidation|Persuasion,06 10 18,,NA,NA,Aasimar,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3,Warhammer|Javelin,08-11
e6c8ab,Human,Urban Bounty Hunter,Rogue 10,Rogue,Mastermind,10,Healer,24,15,17,16,15,13,12,9,Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception,08 16 18,NN,N,N,Human,,"Dagger|Crossbow, Light",08-11
458a02,Skellington,Hermit,Monk 10,Monk,Way of the Sun Soul,10,Sentinel,63,18,8,20,13,8,16,6,Acrobatics|Stealth|Religion|Insight|Medicine,08 23 18,NN,N,N,,,Unarmed Strike,08-11
e6f0d7,Dragonborn,Courtier,Sorcerer 10,Sorcerer,Storm Sorcery,10,Dragon Hide|Spell Sniper,42,12,10,14,10,13,12,18,Arcana|Religion|Insight|Persuasion,07 09 18,,NA,NA,Dragonborn,Control Flames*0|Fire Bolt*0|Mage Hand*0|Lightning Lure*0|Mending*0|Message*0|Comprehend Languages*1|Mage Armor*1|Suggestion*2|Web*2|Crown of Madness*2|Counterspell*3|Tongues*3|Major Image*3|Polymorph*4|Sickening Radiance*4|Immolation*5,Dagger,08-11
9b4c34,Mountain Dwarf,Clan Crafter,Paladin 10,Paladin,OathBreaker,10,Squat Nimbleness,84,18,17,10,14,12,14,16,Athletics|History|Insight|Intimidation|Persuasion,07 09 18,,NA,NA,Dwarf,Hellish Rebuke*1|Inflict Wounds*1|Thunderous Smite*1|Heroism*1|Cure Wounds*1|Protection from Evil and Good*1|Crown of Madness*2|Darkness*2|Zone of Truth*2|Find Steed*2|Magic Weapon*2|Animate Dead*3|Bestow Curse*3|Remove Curse*3|Elemental Weapon*3,Javelin,08-11
792235,Human,Knight,Fighter 10,Fighter,Purple Dragon Knight,10,Sentinel|Mage Slayer|Shield Master,76,18,18,10,14,10,16,10,History|Animal Handling|Insight|Perception|Performance|Persuasion,07 09 18,,NA,NA,Human,,Longsword|Handaxe,08-11
20a586,Wood Elf,Sage,Druid 10,Druid,Circle of the Land,10,Wood Elf Magic|Elven Accuracy,53,16,10,16,10,16,18,10,Arcana|History|Nature|Medicine|Perception|Survival,07 09 18,,NA,NA,Elf,Guidance*0|Mold Earth*0|Shape Water*0|Thorn Whip*0|Druidcraft*0|Create or Destroy Water*1|Healing Word*1|Speak with Animals*1|Barkskin*2|Spider Climb*2|Animal Messenger*2|Skywrite*2|Lesser Restoration*2|Call Lightning*3|Plant Growth*3|Erupting Earth*3|Speak with Plants*3|Divination*4|Freedom of Movement*4|Watery Sphere*4|Conjure Woodland Beings*4|Commune with Nature*5|Tree Stride*5|Mass Cure Wounds*5|Wrath of Nature*5|Greater Restoration*5,Scimitar,08-11
c44e4e,Half-Orc,Acolyte,Cleric 10,Cleric,Nature Domain,10,Heavy Armor Master|Orcish Fury,73,18,18,10,14,12,15,8,History|Nature|Religion|Insight|Medicine|Intimidation,08 15 18,CN,N,C,Half-Orc,Animal Friendship*1|Speak with Animals*1|Barkskin*2|Spike Growth*2|Plant Growth*3|Wind Wall*3|Dominate Beast*4|Grasping Vine*4|Insect Plague*5|Tree Stride*5,"Mace|Crossbow, Light",08-11
3cfb67,Protector Aasimar,Sailor,Bard 10,Bard,College of Glamour,10,Mobile,88,15,12,18,14,16,17,20,Athletics|Acrobatics|Perception|Performance|Persuasion,08 07 18,,NA,NA,Aasimar,Vicious Mockery*0|Dancing Lights*0|Charm Person*1|Detect Magic*1|Healing Word*1|Thunderwave*1|Silence*2|Crown of Madness*2|Invisibility*2|Bestow Curse*3|Leomund’s Tiny Hut*3|Nondetection*3|Dimension Door*4|Polymorph*4|Hallucinatory Terrain*4|Planar Binding*5|Seeming*5,Rapier|Dagger,08-11
3778bb,Lineage - Mamm,Noble,Warlock 10,Warlock,The Hexblade,10,,73,16,10,13,14,12,10,20,Arcana|History|Investigation|Persuasion,07 26 18,NN,N,N,Tiefling,Mage Hand*0|Eldritch Blast*0|Toll the Dead*0|Chill Touch*0|Shield*1|Armor of Agathys*1|Hellish Rebuke*1|Unseen Servant*1|Arcane Lock*2|Misty Step*2|Gaseous Form*3|Banishment*4|Sickening Radiance*4|Synaptic Static*5,"Crossbow, Light|Dagger|Rapier",08-11
138968,Human,Sage,Wizard 10,Wizard,School of Necromancy,10,,62,12,11,14,15,20,13,9,Arcana|History|Religion|Insight,06 01 18,,NA,NA,Human,Animate Dead*3,Quarterstaff,08-11
4ac8d5,Dragonborn,Soldier,Paladin 10,Paladin,Oath of Vengeance,10,Tough,94,18,18,12,13,10,8,16,Athletics|Insight|Medicine|Intimidation,08 15 18,,NA,NA,Dragonborn,Bane*1|Hunter’s Mark*1|Cure Wounds*1|Thunderous Smite*1|Hold Person*2|Misty Step*2|Haste*3,Longsword|Javelin,08-11
585f45,Human,Acolyte,Sorcerer 10,Sorcerer,Shadow Magic,10,Lucky,80,13,11,17,18,13,16,20,Arcana|Religion|Insight|Intimidation|Persuasion,08 30 18,,NA,NA,Human,Darkness*2,"Crossbow, Light|Dagger",08-11
